city_code,name,postal_code,address,phone,official_url,source_url,verified_at
27100,大阪市役所,530-8201,大阪市北区中之島1丁目3番20号,06-6208-8181,https://www.city.osaka.lg.jp/,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27102,大阪市都島区役所,534-8501,大阪市都島区中野町2-16-20,,https://www.city.osaka.lg.jp/miyakojima/page/0000016183.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27103,大阪市福島区役所,553-8501,大阪市福島区大開1-8-1,,https://www.city.osaka.lg.jp/fukushima/page/0000001415.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27104,大阪市此花区役所,554-8501,大阪市此花区春日出北1-8-4,,https://www.city.osaka.lg.jp/konohana/page/0000000976.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27106,大阪市西区役所,550-8501,大阪市西区新町4-5-14,,https://www.city.osaka.lg.jp/nishi/page/0000000998.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27107,大阪市港区役所,552-8510,大阪市港区市岡1-15-25,,https://www.city.osaka.lg.jp/minato/page/0000320362.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27108,大阪市大正区役所,551-8501,大阪市大正区千島2-7-95,,https://www.city.osaka.lg.jp/taisho/page/0000077091.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27109,大阪市天王寺区役所,543-8501,大阪市天王寺区真法院町20-33,,https://www.city.osaka.lg.jp/tennoji/category/3202-1-1-0-0-0-0-0-0-0.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27111,大阪市浪速区役所,556-8501,大阪市浪速区敷津東1-4-20,,https://www.city.osaka.lg.jp/naniwa/page/0000000179.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27113,大阪市西淀川区役所,555-8501,大阪市西淀川区御幣島1-2-10,,https://www.city.osaka.lg.jp/nishiyodogawa/page/0000029225.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27114,大阪市東淀川区役所,533-8501,大阪市東淀川区豊新2-1-4,,https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000457.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
27115,大阪市東成区役所,537-8501,大阪市東成区大今里西2-8-4,,https://www.city.osaka.lg.jp/higashinari/page/0000182755.html,"https://www.pref.osaka.lg.jp/o070050/koho/links/city.html,https://www.city.osaka.lg.jp/fukushi/page/0000371237.html,https://www.city.sakai.lg.jp/shisei/gaiyo/shozaichi.html",2026-07-07
